index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3
256,73,2,2,1,2,5,5,5,5,4,5,5,5,4,4,5,4,5,4,4,4,5,4,5,4
257,97,2,1,1,1,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
258,95,2,2,1,2,3,3,5,4,5,5,5,5,3,3,3,3,3,4,3,3,3,3,3,3
259,61,2,2,1,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
260,107,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
261,51,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
262,112,2,2,1,2,4,4,3,3,3,3,4,3,3,4,3,2,2,3,4,3,3,4,3,3
263,103,2,2,1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4
264,69,2,2,1,2,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
265,121,2,2,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
266,72,2,2,1,2,4,5,5,4,3,5,5,5,3,3,3,4,4,3,3,3,4,4,4,4
267,125,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4
268,122,2,2,1,1,5,5,5,5,4,4,4,4,5,5,4,4,4,3,4,4,4,4,4,4
269,106,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
270,141,2,1,1,2,4,3,3,5,2,3,4,2,4,5,5,3,3,3,4,4,4,4,4,3
271,127,2,1,1,2,3,3,3,4,2,3,4,3,2,1,1,1,1,1,2,1,1,1,2,2
272,60,2,2,1,2,4,4,3,4,3,4,4,4,4,3,4,2,2,4,4,4,4,3,3,3
273,62,2,2,1,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4
274,61,2,2,1,1,4,3,3,4,4,3,5,3,5,5,3,3,3,3,4,4,4,4,4,4
275,85,1,2,1,2,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4
276,153,2,2,1,2,4,3,3,5,5,3,5,3,3,3,4,3,3,3,3,3,3,4,4,5
277,153,2,2,1,2,4,3,3,5,5,3,5,3,3,3,4,3,3,3,3,3,3,4,4,5
278,148,1,2,1,2,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,4
279,87,2,2,1,1,5,5,5,5,4,4,5,4,5,5,5,4,5,5,5,5,3,5,5,5
280,102,2,2,1,2,2,4,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4
281,173,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3
282,208,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4
283,113,2,2,1,2,5,4,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5
284,200,1,2,1,2,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,5,4
285,205,2,2,1,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
286,139,2,2,1,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
287,171,1,2,1,2,1,4,4,5,5,5,3,5,5,5,5,2,2,4,4,5,4,4,4,3
288,134,1,2,1,2,4,2,2,5,3,2,3,3,4,4,3,3,3,4,4,5,5,4,4,4
289,276,2,1,1,2,3,3,4,2,4,4,4,3,3,3,4,3,3,3,4,4,4,4,4,4
290,70,2,2,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
291,419,2,1,1,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3
292,120,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
293,3249,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5
294,91,2,2,1,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
295,82,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,4,5,3,3,5
296,96,2,2,1,1,3,4,4,3,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,4
297,99,2,1,1,2,3,4,3,4,4,3,4,4,3,3,3,3,3,4,4,3,3,4,4,4
298,68,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
299,57,1,2,1,1,1,1,1,5,1,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3
300,53,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
301,53,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
302,59,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
303,91,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
304,90,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
305,3779,1,3,1,1,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
306,188,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4
307,76,1,1,1,2,4,4,4,4,4,5,5,5,5,5,5,3,3,4,4,4,4,4,4,4
308,32,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
309,164,2,2,1,2,2,4,4,3,3,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4
310,226,1,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
311,127,2,2,1,2,4,4,4,4,4,5,5,5,4,4,2,2,2,4,4,4,4,4,4,4
312,67,2,2,1,1,3,3,3,2,5,5,4,4,5,5,5,3,3,3,3,4,4,4,4,4
313,134,1,2,1,2,5,1,1,4,3,1,1,4,4,5,5,2,2,2,5,4,5,5,5,5
314,74,1,2,1,2,3,3,2,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,4
315,105,2,1,1,2,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3
316,71,1,2,1,2,4,4,5,5,4,4,4,4,4,5,4,3,4,4,5,5,5,3,4,4
317,113,1,2,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
318,334,2,2,1,2,2,3,5,4,2,3,5,4,4,4,4,5,5,4,5,4,2,3,4,4
319,71,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,5,5,5,3,3
320,1398,2,2,1,1,4,3,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4
321,57,1,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2
322,82,2,2,1,2,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4
323,57,2,1,1,1,5,5,5,5,5,5,5,5,5,4,3,4,3,4,3,5,5,5,5,5
324,109,1,2,1,2,5,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
325,89,2,2,1,1,3,3,3,2,2,3,4,2,2,2,2,1,2,1,1,2,2,4,4,4
326,241,1,2,1,2,4,4,4,4,4,4,4,4,3,4,4,3,2,4,4,3,4,4,4,4
327,59,2,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
328,196,1,1,1,2,3,4,3,2,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4
329,71,2,2,1,2,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
330,65,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
331,117,2,3,4,1,4,4,3,5,4,3,4,4,4,4,3,2,2,4,4,4,4,4,4,4
332,56,2,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
333,37,2,2,1,1,2,2,3,3,3,3,4,4,2,1,1,1,1,1,1,1,1,4,5,5
334,107,1,2,1,2,2,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5
335,183,2,2,1,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
336,73,1,2,1,2,2,2,2,2,2,2,2,2,5,5,5,4,4,4,4,4,4,5,5,5
337,100,2,1,1,2,5,5,5,5,3,5,5,5,3,3,4,2,3,3,3,3,3,2,4,3
338,80,2,1,1,1,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3,4,3,3,3
339,47,2,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,2,2,3,2,5,5,5,5
340,118,2,2,1,2,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3
341,71,2,1,1,2,3,4,3,4,4,4,5,4,2,2,2,2,2,2,1,2,2,2,2,2
342,59,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4
343,68,2,2,1,1,2,1,1,5,4,1,4,1,3,4,2,1,1,1,1,1,1,1,1,1
344,74,2,2,1,2,3,3,5,5,3,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3
345,79,1,2,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3
346,89,2,2,1,2,3,3,5,4,4,5,4,5,3,3,3,3,3,3,3,4,2,3,3,3
347,63,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
348,85,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
349,107,1,2,1,2,4,5,5,3,4,5,5,5,4,3,4,2,3,3,3,4,4,4,3,1
350,146,1,2,1,2,4,5,5,3,4,5,5,5,4,3,4,2,3,3,3,4,4,4,3,1
351,104,2,2,1,1,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,3,3
352,108,2,2,1,2,5,4,4,4,3,3,4,5,4,3,3,2,5,5,3,3,4,3,3,3
353,42,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
354,71,1,2,1,1,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
355,41,2,1,1,1,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4
356,71,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
357,140,2,2,1,2,2,4,4,4,3,4,4,4,3,3,3,3,3,3,2,3,3,2,2,1
358,301,1,2,1,1,4,3,4,3,3,5,5,5,1,1,1,1,1,1,1,1,1,1,3,4
359,72,2,3,3,1,4,4,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5
360,113,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,2,2,4,5,4,4,4,4,4
361,62,2,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
362,100,2,2,1,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
363,59,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
364,214,2,2,2,1,5,4,3,4,3,2,4,4,3,3,2,2,3,3,2,2,4,5,5,5
365,65,2,2,3,1,4,4,5,5,5,5,5,5,4,4,4,4,4,5,5,4,5,4,5,4
366,64,2,3,3,1,3,3,4,5,3,4,4,4,5,5,5,5,5,4,5,5,5,5,4,4
367,85,2,3,3,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
368,44,2,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
