index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3
60,81,2,2,1,1,4,4,3,4,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,4
61,66,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
62,58,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
63,89,2,1,1,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
64,52,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
65,120,2,2,1,1,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
66,125,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
67,92,2,2,1,1,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4
68,103,2,2,1,1,5,5,5,5,4,4,5,4,4,3,4,3,5,4,3,3,4,4,4,4
69,119,2,2,1,1,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,5
70,112,2,2,1,1,3,4,4,3,2,3,3,3,5,5,5,4,4,4,4,4,4,4,4,5
71,79,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
72,116,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73,178,2,2,1,1,3,4,4,4,3,3,4,4,3,3,4,3,4,3,4,3,3,4,4,3
74,210,2,2,1,1,5,4,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,5,4
75,88,2,2,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4
76,130,2,2,1,1,3,4,5,4,3,3,4,4,3,4,3,3,3,3,3,3,2,2,3,3
77,141,2,2,1,1,4,4,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4
78,75,2,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
79,128,2,2,1,1,3,5,4,4,3,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4
80,133,2,2,1,1,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
81,46,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
82,57,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
83,76,2,3,4,1,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,2,2,4,2,2
84,92,2,2,1,1,4,4,4,4,3,4,4,4,3,3,3,3,4,3,3,4,3,4,4,4
85,53,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
86,85,2,1,1,1,4,4,5,4,3,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4
87,68,2,2,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
88,95,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
89,59,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
90,132,2,2,1,1,4,4,4,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3
91,53,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
92,71,1,2,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
93,60,2,2,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
94,77,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
95,95,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
96,96,2,1,1,1,4,4,4,5,3,4,3,3,3,3,4,4,3,4,3,4,4,4,3,3
97,71,2,2,1,1,4,4,4,4,4,4,4,4,4,5,4,3,5,5,4,4,4,4,4,4
98,95,2,2,1,1,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
99,113,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
100,113,2,2,1,1,4,4,4,5,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4
101,217,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
102,64,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4
103,117,2,1,1,1,3,3,3,3,4,3,3,3,4,4,4,4,5,5,4,5,5,5,5,5
104,136,2,2,1,1,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
105,38,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
106,111,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
107,44,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
108,65,2,1,1,1,5,5,5,5,5,5,5,5,5,5,4,3,3,3,4,4,4,4,4,4
109,167,2,2,1,1,3,4,4,4,4,4,4,4,4,3,3,3,3,4,2,3,3,3,4,3
