index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3,Straight_Line_Flag,Very_Fast_Flag,High_Risk_Flag,Strict_Duplicate_Flag
51,65,2,2,1,1,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,False,False,False,False
52,83,2,1,1,1,2,2,3,4,2,2,2,4,5,4,3,2,2,4,4,4,3,3,3,3,False,False,False,False
53,72,2,3,4,1,4,4,4,4,4,4,4,4,3,3,1,2,1,2,2,2,2,3,3,3,False,False,False,False
54,82,2,2,1,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,False,False,False,False
55,124,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
56,157,2,2,1,1,4,4,5,4,4,5,5,5,4,4,4,3,5,5,4,5,5,3,5,5,False,False,False,False
57,56,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,False,False,False,False
58,76,2,2,1,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
59,66,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,True
60,81,2,2,1,1,4,4,3,4,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,4,False,False,False,False
61,66,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,True
62,58,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
63,89,2,1,1,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,False,False,False,False
64,52,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,False,False,False,False
65,120,2,2,1,1,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,False,False,False,False
66,125,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
67,92,2,2,1,1,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,False,False,False,False
