index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3,Straight_Line_Flag,Very_Fast_Flag,High_Risk_Flag,Strict_Duplicate_Flag
220,85,2,1,1,1,4,4,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
221,487,2,2,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
222,85,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,False,False,False,False
223,141,2,2,1,1,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,False,False,False,False
224,153,2,2,1,1,4,4,5,3,2,4,3,3,3,3,3,4,4,3,3,4,5,4,4,4,False,False,False,False
225,226,2,2,1,1,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,False,False,False,False
226,453,2,2,1,1,3,4,3,4,1,4,4,3,3,4,3,4,4,3,4,4,3,4,4,3,False,False,False,False
227,68,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,False,False,False,False
228,61,2,2,1,2,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,False,False,False,False
229,186,2,2,1,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,False,False,False,False
230,119,2,2,1,2,4,3,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,False,False,False,False
231,95,2,2,1,2,5,5,5,4,4,5,5,5,4,4,4,5,5,5,5,4,4,5,5,4,False,False,False,False
232,104,2,2,1,2,3,5,5,3,3,4,4,5,4,4,3,4,4,4,4,4,4,3,3,3,False,False,False,False
233,56,1,2,1,2,3,3,3,4,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,False,False,False,False
234,326,2,1,1,2,4,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,False,False,False,False
235,109,2,2,1,2,4,3,3,4,2,3,4,3,4,4,4,4,3,3,3,4,3,4,4,4,False,False,False,False
236,171,2,1,1,1,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,False,False,False,False
237,61,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
238,76,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,False,False,False,False
239,147,2,2,1,2,4,3,3,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,3,3,False,False,False,False
240,106,2,2,1,2,4,4,4,4,3,4,4,4,4,3,4,3,4,3,3,4,4,4,4,4,False,False,False,False
241,87,2,2,1,1,4,4,5,5,4,5,5,5,4,5,5,2,4,4,3,4,4,4,4,4,False,False,False,False
242,109,2,1,1,2,4,3,3,4,3,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,False,False,False,False
243,193,2,2,1,2,3,4,4,4,3,4,4,4,3,3,3,2,4,4,3,3,3,4,3,3,False,False,False,False
244,356,2,2,1,1,4,4,4,2,3,4,5,4,5,4,5,5,5,5,2,5,5,4,4,3,False,False,False,False
245,137,2,2,1,2,3,4,4,3,3,3,3,5,4,2,4,4,5,5,3,3,5,5,5,3,False,False,False,False
246,150,2,2,1,1,2,3,3,4,3,3,4,3,5,4,3,3,4,3,3,4,4,3,4,4,False,False,False,False
247,62,2,2,1,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
248,300,2,2,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
249,50,2,1,1,2,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,False,False,False,False
250,52,2,2,1,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
251,59,1,2,1,2,4,4,5,5,5,5,5,5,5,5,5,5,4,3,2,4,4,4,5,5,False,False,False,False
252,73,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
253,64,2,2,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
254,83,2,2,1,1,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
255,81,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
256,73,2,2,1,2,5,5,5,5,4,5,5,5,4,4,5,4,5,4,4,4,5,4,5,4,False,False,False,False
257,97,2,1,1,1,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
258,95,2,2,1,2,3,3,5,4,5,5,5,5,3,3,3,3,3,4,3,3,3,3,3,3,False,False,False,False
259,61,2,2,1,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
260,107,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
261,51,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
262,112,2,2,1,2,4,4,3,3,3,3,4,3,3,4,3,2,2,3,4,3,3,4,3,3,False,False,False,False
263,103,2,2,1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,False,False,False,False
264,69,2,2,1,2,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
265,121,2,2,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
266,72,2,2,1,2,4,5,5,4,3,5,5,5,3,3,3,4,4,3,3,3,4,4,4,4,False,False,False,False
267,125,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,4,False,False,False,False
268,122,2,2,1,1,5,5,5,5,4,4,4,4,5,5,4,4,4,3,4,4,4,4,4,4,False,False,False,False
269,106,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
270,141,2,1,1,2,4,3,3,5,2,3,4,2,4,5,5,3,3,3,4,4,4,4,4,3,False,False,False,False
271,127,2,1,1,2,3,3,3,4,2,3,4,3,2,1,1,1,1,1,2,1,1,1,2,2,False,False,False,False
272,60,2,2,1,2,4,4,3,4,3,4,4,4,4,3,4,2,2,4,4,4,4,3,3,3,False,False,False,False
273,62,2,2,1,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,False,False,False,False
274,61,2,2,1,1,4,3,3,4,4,3,5,3,5,5,3,3,3,3,4,4,4,4,4,4,False,False,False,False
275,85,1,2,1,2,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,False,False,False,False
276,153,2,2,1,2,4,3,3,5,5,3,5,3,3,3,4,3,3,3,3,3,3,4,4,5,False,False,False,True
277,153,2,2,1,2,4,3,3,5,5,3,5,3,3,3,4,3,3,3,3,3,3,4,4,5,False,False,False,True
278,148,1,2,1,2,4,4,4,4,4,4,4,4,4,5,5,4,4,5,3,4,4,4,4,4,False,False,False,False
279,87,2,2,1,1,5,5,5,5,4,4,5,4,5,5,5,4,5,5,5,5,3,5,5,5,False,False,False,False
280,102,2,2,1,2,2,4,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,False,False,False,False
281,173,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,False,False,False,False
282,208,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,False,False,False,False
283,113,2,2,1,2,5,4,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
284,200,1,2,1,2,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,5,4,False,False,False,False
285,205,2,2,1,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
286,139,2,2,1,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
287,171,1,2,1,2,1,4,4,5,5,5,3,5,5,5,5,2,2,4,4,5,4,4,4,3,False,False,False,False
288,134,1,2,1,2,4,2,2,5,3,2,3,3,4,4,3,3,3,4,4,5,5,4,4,4,False,False,False,False
289,276,2,1,1,2,3,3,4,2,4,4,4,3,3,3,4,3,3,3,4,4,4,4,4,4,False,False,False,False
290,70,2,2,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
291,419,2,1,1,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,False,False,False,False
292,120,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
293,3249,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,False,False,False,False
294,91,2,2,1,2,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
295,82,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,4,5,3,3,5,False,False,False,False
296,96,2,2,1,1,3,4,4,3,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,4,False,False,False,False
297,99,2,1,1,2,3,4,3,4,4,3,4,4,3,3,3,3,3,4,4,3,3,4,4,4,False,False,False,False
298,68,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
299,57,1,2,1,1,1,1,1,5,1,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,False,False,False,False
300,53,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
301,53,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
302,59,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,True
303,91,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
304,90,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,False,False,False,False
305,3779,1,3,1,1,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
306,188,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,False,False,False,False
307,76,1,1,1,2,4,4,4,4,4,5,5,5,5,5,5,3,3,4,4,4,4,4,4,4,False,False,False,False
308,32,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,True,True,False
309,164,2,2,1,2,2,4,4,3,3,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
310,226,1,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,True,False,False,False
311,127,2,2,1,2,4,4,4,4,4,5,5,5,4,4,2,2,2,4,4,4,4,4,4,4,False,False,False,False
312,67,2,2,1,1,3,3,3,2,5,5,4,4,5,5,5,3,3,3,3,4,4,4,4,4,False,False,False,False
313,134,1,2,1,2,5,1,1,4,3,1,1,4,4,5,5,2,2,2,5,4,5,5,5,5,False,False,False,False
314,74,1,2,1,2,3,3,2,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,4,False,False,False,False
315,105,2,1,1,2,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,False,False,False,False
316,71,1,2,1,2,4,4,5,5,4,4,4,4,4,5,4,3,4,4,5,5,5,3,4,4,False,False,False,False
317,113,1,2,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
318,334,2,2,1,2,2,3,5,4,2,3,5,4,4,4,4,5,5,4,5,4,2,3,4,4,False,False,False,False
319,71,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,5,5,5,3,3,False,False,False,False
320,1398,2,2,1,1,4,3,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,False,False,False,False
321,57,1,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,False,False,False,False
322,82,2,2,1,2,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,False,False,False,False
323,57,2,1,1,1,5,5,5,5,5,5,5,5,5,4,3,4,3,4,3,5,5,5,5,5,False,False,False,False
324,109,1,2,1,2,5,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,False,False,False,False
325,89,2,2,1,1,3,3,3,2,2,3,4,2,2,2,2,1,2,1,1,2,2,4,4,4,False,False,False,False
326,241,1,2,1,2,4,4,4,4,4,4,4,4,3,4,4,3,2,4,4,3,4,4,4,4,False,False,False,False
327,59,2,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
328,196,1,1,1,2,3,4,3,2,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
329,71,2,2,1,2,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
330,65,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,True
331,117,2,3,4,1,4,4,3,5,4,3,4,4,4,4,3,2,2,4,4,4,4,4,4,4,False,False,False,False
332,56,2,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
333,37,2,2,1,1,2,2,3,3,3,3,4,4,2,1,1,1,1,1,1,1,1,4,5,5,False,True,False,False
334,107,1,2,1,2,2,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,False,False,False,False
335,183,2,2,1,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,False,False,False,False
336,73,1,2,1,2,2,2,2,2,2,2,2,2,5,5,5,4,4,4,4,4,4,5,5,5,False,False,False,False
337,100,2,1,1,2,5,5,5,5,3,5,5,5,3,3,4,2,3,3,3,3,3,2,4,3,False,False,False,False
338,80,2,1,1,1,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3,4,3,3,3,False,False,False,False
339,47,2,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,2,2,3,2,5,5,5,5,False,True,False,False
340,118,2,2,1,2,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,False,False,False,False
341,71,2,1,1,2,3,4,3,4,4,4,5,4,2,2,2,2,2,2,1,2,2,2,2,2,False,False,False,False
342,59,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,False,False,False,False
343,68,2,2,1,1,2,1,1,5,4,1,4,1,3,4,2,1,1,1,1,1,1,1,1,1,False,False,False,False
344,74,2,2,1,2,3,3,5,5,3,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,False,False,False,False
345,79,1,2,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,False,False,False,False
346,89,2,2,1,2,3,3,5,4,4,5,4,5,3,3,3,3,3,3,3,4,2,3,3,3,False,False,False,False
347,63,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,False,False,False,False
348,85,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
349,107,1,2,1,2,4,5,5,3,4,5,5,5,4,3,4,2,3,3,3,4,4,4,3,1,False,False,False,False
350,146,1,2,1,2,4,5,5,3,4,5,5,5,4,3,4,2,3,3,3,4,4,4,3,1,False,False,False,False
351,104,2,2,1,1,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,3,3,False,False,False,False
352,108,2,2,1,2,5,4,4,4,3,3,4,5,4,3,3,2,5,5,3,3,4,3,3,3,False,False,False,False
353,42,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,True,True,False
354,71,1,2,1,1,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
355,41,2,1,1,1,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4,False,True,False,False
356,71,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
357,140,2,2,1,2,2,4,4,4,3,4,4,4,3,3,3,3,3,3,2,3,3,2,2,1,False,False,False,False
358,301,1,2,1,1,4,3,4,3,3,5,5,5,1,1,1,1,1,1,1,1,1,1,3,4,False,False,False,False
359,72,2,3,3,1,4,4,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,False,False,False,False
360,113,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,2,2,4,5,4,4,4,4,4,False,False,False,False
361,62,2,2,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
362,100,2,2,1,1,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,False,False,False,False
363,59,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
364,214,2,2,2,1,5,4,3,4,3,2,4,4,3,3,2,2,3,3,2,2,4,5,5,5,False,False,False,False
365,65,2,2,3,1,4,4,5,5,5,5,5,5,4,4,4,4,4,5,5,4,5,4,5,4,False,False,False,False
366,64,2,3,3,1,3,3,4,5,3,4,4,4,5,5,5,5,5,4,5,5,5,5,4,4,False,False,False,False
367,85,2,3,3,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
368,44,2,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,True,True,False
